Startup_Name,Industry,City,Investors,Round_Type,Amount_USD,Year,Amount_in_Crores
#Fame,Media,Mumbai,To the new ventures,Private Equity,82500000.0,2015,8.25
1mg,Healthcare,Gurugram,"Deep kalra, Sequoia capital, Omidyar network, Intel capital & kae capital",Private Equity,49500000.0,2015,4.95
20Dresses,Personal Care,Mumbai,"Srinivas aluri, Srinivas modukury, Bs nagesh",Seed Funding,8250000.0,2015,0.825
33Coupons,Marketing,Kanpur,Not disclosed,Seed Funding,170000.0,2015,0.017
Aasaanjobs,Careers,Mumbai,"Inventus capital partners, Idg ventures",Seed Funding,12380000.0,2015,1.238
Absentia,Technology,Bengaluru,"Astarc ventures, 50k ventures & others",Seed Funding,1490000.0,2015,0.149
AdStringO,Marketing,Mumbai,"Arihant patni, Vishal khare,  viswanath ramachandran",Seed Funding,2890000.0,2015,0.289
AdWyze,Marketing,Bengaluru,Mape advisory,Seed Funding,8250000.0,2015,0.825
AgentDesks,Real Estate,Gurugram,"Sierra ventures, Cota capital, Vegas tech fund",Seed Funding,24340000.0,2015,2.434
Agrostar,AgriTech,Pune,Idg ventures,Private Equity,33000000.0,2015,3.3
Aisle.co,E-Commerce,Bengaluru,"Anand vijay, Shashank mehrotra & others",Seed Funding,830000.0,2015,0.083
Akosha,Technology,New Delhi,Sequoia capital,Private Equity,132000000.0,2015,13.2
AllIzHealth,Healthcare,Pune,Mumbai angels & other angel investors,Seed Funding,2890000.0,2015,0.289
Allygrow Technologies,Technology,Mumbai,Zodius technology fund,Private Equity,165000000.0,2015,16.5
AlmaMapper,Education,Ahmedabad,Oswal techno ventures llp,Seed Funding,3300000.0,2015,0.33
Ameyo,Technology,Gurugram,forum synergies pe fund,Private Equity,41250000.0,2015,4.125
Ampere Vehicles,Transportation,Coimbatore,Kris gopalakrishnan & others,Seed Funding,9900000.0,2015,0.99
Antuit,Data Analytics,Bengaluru,"Goldman sachs, Zodius capital",Private Equity,462000000.0,2015,46.2
Appbase,Technology,Pune,"Da-iict, Techstars, Carnegie mellon university, Startup brasil program",Seed Funding,2390000.0,2015,0.239
Appedo,Technology,Bengaluru,Undisclosed investors,Seed Funding,8250000.0,2015,0.825
Applicate,Software,Bengaluru,"Rishi vasudev, Amit gupta, Rajiv nayan",Seed Funding,4540000.0,2015,0.454
Applied Solar Technologies,Energy,Mumbai,"Future fund, Bessemer venture, Capricorn investment and ifc",Private Equity,330000000.0,2015,33.0
Applop,IT,Kolkata,Ghv accelerator,Seed Funding,830000.0,2015,0.083
Appsdaily,Technology,Mumbai,"Zodius capital, Ru-net, Kalaari capital,  qualcomm ventures",Private Equity,132000000.0,2015,13.2
Appvigil,Services,Mumbai,"Ravi gururaj, Gaurav sharma, Viswanath ramachandran, Ripplewave",Seed Funding,4130000.0,2015,0.413
AppVirality,Marketing,Hyderabad,"Rajan anandan, Mike galgon, Ravi gururaj, Ashim mehra,  mohit saxena, Internet group, Tnn capital and others",Seed Funding,4130000.0,2015,0.413
Arkin Net,Data Analytics,Pune,Nexus venture partners,Private Equity,123750000.0,2015,12.375
Arohan Financial Services,FinTech,Kolkata,Tano capital,Private Equity,82500000.0,2015,8.25
Arth DesignBuild,Technology,Hyderabad,Srinivas tirupati,Seed Funding,4130000.0,2015,0.413
Artoo,Technology,Bengaluru,"Accion venture labs, Rianta capital",Private Equity,4130000.0,2015,0.413
Arya.ai,AI,Mumbai,"Yournest angel fund, Venture nursery",Private Equity,6190000.0,2015,0.619
Aryaka,Technology,Bengaluru,"Trinity ventures, Interwest partners, Mohr davidow ventures, Presidio ventures",Private Equity,132000000.0,2015,13.2
AskMyGift,Households,Noida,Turning ideas,Seed Funding,410000.0,2015,0.041
Ather Energy,EV,Bengaluru,Tiger global,Private Equity,99000000.0,2015,9.9
Attune Technologies,Healthcare,Chennai,"Qualcomm venture, Norwest venture partners",Private Equity,82500000.0,2015,8.25
Avanti Learning,Education,New Delhi,"Michael & susan dell foundation, Pearson learning fund",Private Equity,12380000.0,2015,1.238
Axtria,Data Analytics,Gurugram,"Helion venture partners, Amarpreet sawhney, Deshpande foundation, Fred khosravi, Richard s. braddock",Private Equity,247500000.0,2015,24.75
Aye Finance,Finance,Gurugram,"Saif partners, Accion",Private Equity,24750000.0,2015,2.475
Babajobs,Careers,Bengaluru,Seek ltd & affiliates,Private Equity,82500000.0,2015,8.25
BankBazaar,FinTech,Chennai,"Amazon, Fidelity growth partners, Mousse partners",Private Equity,495000000.0,2015,49.5
Baxi,Transportation,Gurugram,"Manish kheterpal, Alok mittal,  puneet dalmia,",Seed Funding,11960000.0,2015,1.196
BeaconsTalk,Technology,Mumbai,Puneet bhatia & others,Seed Funding,660000.0,2015,0.066
Belita,Personal Care,Mumbai,"India quotient, Letsventure investors, Lead angels",Seed Funding,3300000.0,2015,0.33
Bestdealfinance,Finance,Mumbai,"Kalaari capital, Yournest angel fund",Private Equity,24750000.0,2015,2.475
BiBox,E-Commerce,Bengaluru,Ravi krishnamurthy,Seed Funding,4370000.0,2015,0.437
Bidgely,Energy,Bengaluru,"Constellation technology ventures (exelon corporation), E.on, Rwe, Khosla ventures",Private Equity,136950000.0,2015,13.695
Big Basket,E-Commerce,Bengaluru,Bessemer venture partners,Private Equity,412500000.0,2015,41.25
BigStylist,Personal Care,Mumbai,Info edge,Private Equity,8250000.0,2015,0.825
BillDesk,FinTech,Mumbai,Ta associates,Private Equity,618750000.0,2015,61.875
Bite Club,Food,Gurugram,"Powai lake ventures, Aneesh reddy, Ashish kashyap, Alok mittal",Seed Funding,4130000.0,2015,0.413
Black White Orange,B2B,Mumbai,Collaborative licensing ventures llp,Seed Funding,2500000.0,2015,0.25
BlackBuck,Logistics,Bengaluru,"Tiger global management, Yuri milner, Apoletto, Accel partners, Flipkart",Private Equity,206250000.0,2015,20.625
Blubox,E-Commerce,Mumbai,Ashish jhalani,Seed Funding,830000.0,2015,0.083
Bluebirch,Technology,Bengaluru,"Chicago capital ventures, Sanjay mehta, Others",Seed Funding,16500000.0,2015,1.65
